RUN,SGA,PGA,PGA_BCAST
0,0.569313,0.391130,0.496368
1,0.570640,0.380181,0.399987
2,0.569129,0.385078,0.345567
3,0.569406,0.387958,0.347395
4,0.569331,0.381630,0.339104
5,0.568572,0.385629,0.346296
6,0.568927,0.379327,0.348198
7,0.571054,0.389125,0.344542
8,0.569238,0.386879,0.344476
9,0.569379,0.381581,0.344377
10,0.569181,0.387248,0.346586
11,0.569201,0.381282,0.341912
12,0.569931,0.388432,0.342860
13,0.567959,0.388142,0.342964
14,0.567856,0.387581,0.344620
15,0.570686,0.387139,0.345240
16,0.570379,0.383123,0.342290
17,0.568396,0.387722,0.347735
18,0.569160,0.389746,0.350890
19,0.569824,0.381261,0.343954
RUN,SGA,PGA,PGA_BCAST
0,0.568356,0.839222,14.137076
1,0.570230,0.795572,14.135616
2,0.568910,0.828876,14.377780
3,0.569042,0.819742,13.849546
4,0.570193,0.823848,14.164840
5,0.569492,0.862485,13.997040
6,0.569356,0.815687,14.143850
7,0.568810,0.851294,14.329084
8,0.569951,0.818716,14.186967
9,0.569635,0.831265,14.125575
10,0.568889,0.865848,14.442415
11,0.569561,0.835565,14.213461
12,0.569386,0.833785,14.268808
13,0.571869,0.851641,14.220853
14,0.569518,0.849949,14.168813
15,0.569259,0.819045,14.132895
16,0.570682,0.826438,13.924715
17,0.568666,0.837658,14.184962
18,0.570969,0.808224,14.378327
19,0.567695,0.846401,14.271586
