POPSIZE,sga time,pga_time,speedup
POPSIZE,sga time,pga_time,speedup
1000,0.567537,0.352877,0.21466
2000,2.139521,0.610095,1.529426
3000,4.719823,0.930605,3.789218
4000,8.313665,1.284984,7.028681
5000,12.907243,1.679812,11.227431
6000,18.518040,2.099361,16.418679
7000,25.063560,2.741669,22.321891
8000,32.657235,3.414834,29.242401
9000,41.326980,4.194743,37.132237
10000,50.879924,4.991273,45.888651
POPSIZE,sga time,pga_time,speedup
1000,0.5691,0.5175,1.0996
2000,2.1409,1.1979,1.7872
3000,4.7210,2.1100,2.2375
4000,8.2909,3.0362,2.7307
5000,12.8632,5.2163,2.4660
6000,18.4750,7.1402,2.5875
7000,25.0738,22.1866,1.1301
8000,32.7132,28.4872,1.1483
9000,41.2636,32.9085,1.2539
10000,50.9520,39.1756,1.3006
11000,61.6257,51.5669,1.1951
12000,73.3898,63.1707,1.1618
13000,86.5889,76.0131,1.1391
14000,100.2183,78.9136,1.2700
15000,115.3978,99.2958,1.1622
16000,130.9484,108.1831,1.2104
17000,148.0876,126.1480,1.1739
18000,171.0281,117.8292,1.4515
19000,195.5008,126.7189,1.5428
20000,229.2368,178.6091,1.2835
POPSIZE,sga time,pga_time,speedup
# 2017/03/25 21:31:37
# Using: pga_partial_P and sga_P binary
# POPSIZE,sga time,pga_time,speedup
1000,0.5693,0.3552,1.6028
2000,2.1408,0.6103,3.5079
3000,4.7219,0.9257,5.1006
4000,8.2958,1.3013,6.3748
5000,12.8896,1.7026,7.5704
6000,18.4787,2.1429,8.6231
7000,25.0868,2.7674,9.0653
8000,32.7211,3.4460,9.4954
9000,41.2967,4.1639,9.9179
10000,51.0125,4.9979,10.2068
# 2017/03/25 21:49:31
# Using: pga_global_P and sga_P binary
# POPSIZE,sga time,pga_time,speedup
1000,0.5688,0.5149,1.1045
2000,2.1437,1.2098,1.7720
3000,4.7156,2.0931,2.2529
4000,8.2999,3.0239,2.7448
5000,12.8957,5.2825,2.4412
6000,18.4861,7.2028,2.5665
7000,25.0918,21.9999,1.1405
8000,32.6363,28.4377,1.1476
9000,41.3184,32.6095,1.2671
10000,50.9238,38.8639,1.3103
# 2017/03/25 22:53:08
# Using: pga_P and sga_P binary
# POPSIZE,sga time,pga_time,speedup
1000,0.5673,0.4407,1.2872
2000,2.1400,0.9415,2.2730
3000,4.7317,1.4265,3.3170
4000,8.3590,2.0678,4.0424
5000,12.8846,2.7129,4.7493
6000,18.5196,3.5499,5.2170
7000,25.1099,4.4639,5.6251
8000,32.6655,5.5377,5.8988
9000,41.2902,6.5732,6.2816
10000,50.9020,7.7411,6.5755
